"id","user_id","matches","potential_matches","last_matched_at"
"881","1320",0,576,NULL
"326","926",0,576,NULL
"515","777",0,559,NULL
"890","1022",1,576,"2019-06-27 18:08:48.843332"
"757","1499",1,576,"2019-06-27 19:11:39.990019"
"690","1450",1,576,"2019-06-27 18:09:48.568368"
"214","1675",0,535,NULL
"848","706",0,576,NULL
"638","951",1,576,"2019-06-27 19:09:56.150279"
"797","1049",2,576,"2019-06-27 19:22:52.719606"
"662","878",0,576,NULL
"427","1432",0,576,NULL
"892","782",1,576,"2019-06-27 18:29:20.79453"
"873","703",12,576,"2019-06-27 19:42:00.350608"
"631","1266",0,559,NULL
"456","719",11,576,"2019-06-27 19:48:19.436448"
"202","815",0,526,NULL
"219","836",0,576,NULL
"758","1048",2,576,"2019-06-27 19:46:33.499979"
"635","1242",0,576,NULL
"258","1325",0,556,NULL
"768","1127",0,576,NULL
"728","1544",1,524,"2019-06-27 19:40:52.813847"
"532","921",0,576,NULL
"250","851",0,576,NULL
"407","1490",0,557,NULL
"358","1345",0,535,NULL
"367","1643",0,558,NULL
"473","1041",0,576,NULL
"321","1220",0,559,NULL
"431","907",0,557,NULL
"691","1070",0,576,NULL
"684","1677",0,577,NULL
"555","738",1,576,"2019-06-27 18:44:09.206029"
"296","1205",0,515,NULL
"289","1259",0,561,NULL
"396","1178",2,533,"2019-06-27 19:20:01.828106"
"335","1138",0,576,NULL
"416","1459",0,576,NULL
"687","1649",0,577,NULL
"494","1587",0,548,NULL
"825","1302",0,576,NULL
"474","1375",0,500,NULL
"708","962",0,487,NULL
"368","1571",0,577,NULL
"682","1574",0,577,NULL
"300","964",0,509,NULL
"437","1660",0,577,NULL
"415","1286",0,513,NULL
"627","1352",0,577,NULL
"385","1175",1,561,"2019-06-27 19:07:16.169508"
"329","1624",2,546,"2019-06-27 18:13:41.949387"
"726","1476",11,567,"2019-06-27 19:36:58.740081"
"486","1100",6,530,"2019-06-27 19:27:08.477867"
"247","1592",0,535,NULL
"355","1129",0,576,NULL
"398","908",0,576,NULL
"803","873",0,576,NULL
"352","1114",0,576,NULL
"272","945",0,576,NULL
"604","1626",0,577,NULL
"781","1271",0,576,NULL
"867","1518",1,577,"2019-06-27 18:28:02.202149"
"193","1093",0,576,NULL
"575","1374",0,526,NULL
"887","1358",0,606,NULL
